iter	Passed	Remaining
436	1760	2267
437	1761	2260
438	1762	2252
439	1763	2244
440	1772	2246
441	1773	2239
442	1777	2234
443	1778	2226
444	1778	2218
445	1781	2212
446	1784	2207
447	1795	2212
448	1799	2207
449	1802	2202
450	1805	2197
451	1807	2190
452	1808	2183
453	1809	2176
454	1818	2178
455	1821	2172
456	1822	2165
457	1842	2180
458	1847	2177
459	1853	2175
460	1856	2170
461	1862	2169
462	1865	2163
463	1867	2157
464	1871	2152
465	1873	2147
466	1876	2141
467	1878	2135
468	1882	2131
469	1883	2123
470	1893	2126
471	1896	2122
472	1901	2118
473	1905	2114
474	1908	2109
475	1911	2103
476	1913	2097
477	1920	2097
478	1921	2090
479	1922	2082
480	1923	2075
481	1924	2067
482	1925	2060
483	1927	2054
484	1928	2047
485	1932	2043
486	1934	2037
487	1936	2031
488	1938	2025
489	1939	2019
490	1941	2013
491	1943	2006
492	1944	1999
493	1945	1992
494	1946	1985
495	1947	1979
496	1948	1971
497	1949	1964
498	1950	1957
499	1950	1950
500	1951	1943
501	1952	1936
502	1953	1930
503	1954	1923
504	1955	1916
505	1965	1919
506	1967	1913
507	1969	1907
508	1975	1906
509	1979	1902
510	1984	1898
511	1987	1894
512	1993	1892
513	2002	1893
514	2004	1887
515	2005	1881
516	2010	1878
517	2021	1881
518	2023	1875
519	2027	1871
520	2030	1867
521	2034	1863
522	2036	1857
523	2047	1859
524	2050	1855
525	2056	1852
526	2057	1846
527	2058	1840
528	2064	1837
529	2065	1831
530	2066	1825
531	2080	1829
532	2087	1828
533	2091	1824
534	2104	1829
535	2106	1823
536	2108	1817
537	2110	1812
538	2116	1810
539	2123	1809
540	2127	1805
541	2130	1800
542	2133	1795
543	2137	1791
544	2138	1785
545	2143	1782
546	2149	1779
547	2151	1774
548	2156	1771
549	2162	1769
550	2164	1763
551	2165	1757
552	2166	1751
553	2181	1756
554	2185	1752
555	2189	1748
556	2190	1742
557	2194	1738
558	2202	1737
559	2208	1735
560	2214	1732
561	2222	1732
562	2228	1729
563	2237	1730
564	2240	1725
565	2242	1719
566	2244	1714
567	2246	1708
568	2251	1705
569	2262	1706
570	2263	1700
571	2264	1694
572	2273	1694
573	2275	1688
574	2279	1685
575	2286	1683
576	2291	1679
577	2295	1676
578	2300	1672
579	2307	1671
580	2312	1667
581	2319	1666
582	2327	1664
583	2329	1659
584	2336	1657
585	2342	1654
586	2349	1653
587	2353	1648
588	2356	1644
589	2361	1640
590	2364	1636
591	2366	1630
592	2368	1625
593	2381	1628
594	2386	1624
595	2387	1618
596	2392	1615
597	2397	1611
598	2404	1609
599	2405	1603
600	2422	1608
601	2424	1602
602	2425	1596
603	2426	1590
604	2427	1584
605	2428	1578
606	2430	1573
607	2435	1570
608	2440	1566
609	2442	1561
610	2448	1558
611	2451	1554
612	2453	1548
613	2454	1543
614	2461	1540
615	2461	1534
616	2473	1535
617	2484	1535
618	2489	1532
619	2492	1527
620	2496	1523
621	2497	1517
622	2503	1514
623	2507	1510
624	2508	1505
625	2517	1503
626	2521	1499
627	2525	1496
628	2527	1490
629	2532	1487
630	2539	1484
631	2542	1480
632	2545	1475
633	2548	1470
634	2559	1471
635	2560	1465
636	2569	1463
637	2570	1458
638	2572	1453
639	2594	1459
640	2598	1455
641	2605	1452
642	2607	1447
643	2619	1448
644	2624	1444
645	2630	1441
646	2632	1436
647	2636	1432
648	2652	1434
649	2656	1430
650	2657	1424
651	2659	1419
652	2661	1414
653	2665	1410
654	2667	1405
655	2670	1400
656	2671	1394
657	2672	1389
658	2674	1383
659	2679	1380
660	2681	1375
661	2686	1371
662	2689	1367
663	2691	1362
664	2694	1357
665	2696	1352
666	2698	1347
667	2700	1341
668	2702	1336
669	2703	1331
670	2704	1326
671	2706	1321
672	2708	1316
673	2710	1310
674	2714	1306
675	2717	1302
676	2719	1297
677	2722	1292
678	2724	1287
679	2726	1283
680	2729	1278
681	2732	1274
682	2734	1269
683	2736	1264
684	2738	1259
685	2740	1254
686	2742	1249
687	2746	1245
688	2750	1241
689	2753	1236
690	2755	1232
691	2757	1227
692	2761	1223
693	2763	1218
694	2764	1213
695	2769	1209
696	2776	1207
697	2779	1202
698	2787	1200
699	2789	1195
700	2791	1190
701	2796	1187
702	2798	1182
703	2799	1177
704	2806	1174
705	2807	1169
706	2809	1164
707	2814	1160
708	2819	1157
709	2825	1154
710	2830	1150
711	2846	1151
712	2848	1146
713	2850	1141
714	2868	1143
715	2870	1138
716	2872	1133
717	2873	1128
718	2881	1126
719	2883	1121
720	2884	1116
721	2898	1116
722	2901	1111
723	2904	1107
724	2905	1102
725	2912	1099
726	2920	1096
727	2923	1092
728	2936	1091
729	2938	1086
730	2939	1081
731	2960	1083
732	2969	1081
733	2972	1077
734	2978	1074
735	2980	1069
736	2990	1067
737	2992	1062
738	3001	1060
739	3003	1055
740	3003	1049
741	3005	1044
742	3010	1041
743	3015	1037
744	3017	1032
745	3018	1027
746	3020	1022
747	3021	1017
748	3022	1012
749	3024	1008
750	3025	1003
751	3026	998
752	3028	993
753	3029	988
754	3029	983
755	3030	978
756	3031	973
757	3033	968
758	3034	963
759	3035	958
760	3037	953
761	3038	949
762	3039	944
763	3041	939
764	3042	934
765	3044	929
766	3045	925
767	3047	920
768	3058	918
769	3060	914
770	3062	909
771	3064	904
772	3065	900
773	3066	895
774	3067	890
775	3069	886
776	3071	881
777	3072	876
778	3073	872
779	3075	867
780	3076	862
781	3078	858
782	3079	853
783	3081	848
784	3082	844
785	3083	839
786	3084	834
787	3085	830
788	3087	825
789	3088	821
790	3090	816
791	3092	812
792	3093	807
793	3094	802
794	3099	799
795	3103	795
796	3106	791
797	3111	787
798	3113	783
799	3122	780
800	3123	776
801	3124	771
802	3127	767
803	3130	763
804	3133	759
805	3135	754
806	3138	750
807	3140	746
808	3144	742
809	3150	739
810	3157	735
811	3161	731
812	3166	728
813	3171	724
814	3175	720
815	3182	717
816	3186	713
817	3189	709
818	3197	706
819	3200	702
820	3206	699
821	3208	694
822	3211	690
823	3225	688
824	3234	686
825	3242	683
826	3250	679
827	3255	676
828	3262	672
829	3269	669
830	3277	666
831	3287	663
832	3296	660
833	3307	658
834	3312	654
835	3314	650
836	3317	645
837	3327	643
838	3335	639
839	3339	636
840	3343	632
841	3347	628
842	3355	624
843	3361	621
844	3367	617
845	3370	613
846	3375	609
847	3379	605
848	3386	602
849	3389	598
850	3393	594
851	3402	591
852	3410	587
853	3412	583
854	3419	579
855	3431	577
856	3433	572
857	3436	568
858	3441	564
859	3444	560
860	3453	557
861	3459	553
862	3461	549
863	3465	545
864	3469	541
865	3470	537
866	3476	533
867	3480	529
868	3487	525
869	3492	521
870	3503	518
871	3509	515
872	3517	511
873	3520	507
874	3522	503
875	3530	499
876	3532	495
877	3538	491
878	3540	487
879	3542	483
880	3543	478
881	3545	474
882	3546	469
883	3547	465
884	3548	461
885	3550	456
886	3554	452
887	3557	448
888	3558	444
889	3561	440
890	3564	436
891	3565	431
892	3566	427
893	3567	423
894	3569	418
895	3570	414
896	3571	410
897	3572	405
898	3573	401
899	3574	397
900	3575	392
901	3577	388
902	3580	384
903	3581	380
904	3583	376
905	3588	372
906	3597	368
907	3598	364
908	3600	360
909	3601	356
910	3603	352
911	3604	347
912	3605	343
913	3606	339
914	3607	335
915	3609	330
916	3610	326
917	3611	322
918	3616	318
919	3620	314
920	3624	310
921	3626	306
922	3628	302
923	3631	298
924	3633	294
925	3637	290
926	3640	286
927	3645	282
928	3648	278
929	3652	274
930	3655	270
931	3657	266
932	3659	262
933	3661	258
934	3665	254
935	3670	250
936	3675	247
937	3680	243
938	3685	239
939	3687	235
940	3689	231
941	3700	227
942	3701	223
943	3707	219
944	3712	216
945	3714	212
946	3716	208
947	3718	203
948	3719	199
949	3720	195
950	3721	191
951	3722	187
952	3723	183
953	3724	179
954	3725	175
955	3728	171
956	3729	167
957	3731	163
958	3732	159
959	3734	155
960	3735	151
961	3737	147
962	3738	143
963	3739	139
964	3740	135
965	3741	131
966	3742	127
967	3744	123
968	3745	119
969	3748	115
970	3749	111
971	3751	108
972	3752	104
973	3754	100
974	3755	96
975	3756	92
976	3757	88
977	3758	84
978	3759	80
979	3760	76
980	3761	72
981	3762	68
982	3763	65
983	3764	61
984	3765	57
985	3765	53
986	3766	49
987	3767	45
988	3768	41
989	3770	38
990	3770	34
991	3773	30
992	3775	26
993	3776	22
994	3778	18
995	3780	15
996	3782	11
997	3783	7
998	3784	3
999	3785	0
