iter	RMSE
494	0.3056975987
495	0.3037754749
496	0.3026499698
497	0.3015329561
498	0.2997001284
499	0.2976042953
500	0.2965077611
501	0.2954195192
502	0.2936242078
503	0.2918429048
504	0.290774369
505	0.2897139278
506	0.2876838475
507	0.2856721994
508	0.2846315235
509	0.2826439228
510	0.2806743514
511	0.2787226285
512	0.2777069899
513	0.2766990797
514	0.2747762533
515	0.2728708539
516	0.270982707
517	0.269999006
518	0.2683512425
519	0.2665880903
520	0.2656224909
521	0.2638795502
522	0.2622706177
523	0.261322778
524	0.2595160471
525	0.2577256722
526	0.2559514901
527	0.2550264163
528	0.2533592048
529	0.2517060881
530	0.250797106
531	0.2492653587
532	0.2475533678
533	0.2460430203
534	0.2443559816
535	0.2434738997
536	0.2418896763
537	0.2402353981
538	0.2393699101
539	0.2378163442
540	0.2363645504
541	0.2355282465
542	0.2339198751
543	0.2323260288
544	0.2314923224
545	0.229995041
546	0.228432123
547	0.2276140878
548	0.2260699004
549	0.224613193
550	0.2231688526
551	0.2216614528
552	0.2208823721
553	0.219466483
554	0.21868298
555	0.2172834973
556	0.2158206917
557	0.2150519014
558	0.2136795537
559	0.212245088
560	0.2108235618
561	0.2095294879
562	0.2081287665
563	0.2073868535
564	0.20666669
565	0.2053546042
566	0.2039868123
567	0.2032646871
568	0.2019130679
569	0.2012009068
570	0.1999260734
571	0.1992401116
572	0.197910418
573	0.1965927376
574	0.1953529268
575	0.1940568952
576	0.1927725508
577	0.1914997788
578	0.1908254444
579	0.1895584713
580	0.1883092344
581	0.1876648183
582	0.1864208644
583	0.1851946743
584	0.1839795234
585	0.1827753037
586	0.1815819086
587	0.1803992324
588	0.1792271708
589	0.1781322756
590	0.1775241575
591	0.1769300107
592	0.1760552269
593	0.1754600502
594	0.1746002636
595	0.1740264013
596	0.1728998628
597	0.1723140172
598	0.1711743112
599	0.1700443547
600	0.1694785464
601	0.1689224449
602	0.1678091622
603	0.1667054079
604	0.1658959795
605	0.1650971343
606	0.1646002786
607	0.163991085
608	0.1635019847
609	0.1624450718
610	0.1613978019
611	0.160398808
612	0.1593443186
613	0.1583060711
614	0.157276911
615	0.1565251615
616	0.1555091484
617	0.1544597064
618	0.1534596847
619	0.1524683661
620	0.1514429326
621	0.1504271927
622	0.149458308
623	0.1484978084
624	0.1475456068
625	0.1465841042
626	0.1460361056
627	0.145492418
628	0.1445617494
629	0.1440251411
630	0.1431052827
631	0.1422979265
632	0.1418083777
633	0.1408917178
634	0.1400041958
635	0.1391084115
636	0.1385306267
637	0.1376669204
638	0.1370979738
639	0.1366288473
640	0.1361823996
641	0.1357204441
642	0.1352621168
643	0.1348263408
644	0.1343750539
645	0.1339463574
646	0.1331168176
647	0.1322957017
648	0.1314829177
649	0.1307296924
650	0.1299686529
651	0.1291898832
652	0.1283374481
653	0.1276348207
654	0.1268787547
655	0.1260450885
656	0.1252193105
657	0.1244013402
658	0.1236704671
659	0.1229910588
660	0.1223172626
661	0.121607528
662	0.120910016
663	0.1202154362
664	0.119557574
665	0.1188803807
666	0.1180668629
667	0.1173513232
668	0.1169377584
669	0.1161471008
670	0.1157397485
671	0.1150447679
672	0.1143565185
673	0.1136749319
674	0.1129999403
675	0.112331477
676	0.1118777739
677	0.1114280993
678	0.1107713123
679	0.1103891767
680	0.1099488269
681	0.1095727292
682	0.1089692165
683	0.1085988507
684	0.107963806
685	0.1075378865
686	0.1071157614
687	0.1066973966
688	0.1061157875
689	0.1055406807
690	0.1051310527
691	0.1047250673
692	0.1041570003
693	0.1038125978
694	0.1034147072
695	0.1027603255
696	0.102212464
697	0.1015718443
698	0.1011849089
699	0.1005545876
700	0.1001459796
701	0.09976844729
702	0.09936725494
703	0.09899651373
704	0.09838363419
705	0.09786159357
706	0.0973445422
707	0.09674927488
708	0.09616127152
709	0.09580504084
710	0.09530482631
711	0.09492927001
712	0.09455733072
713	0.09421241311
714	0.09372270532
715	0.09335950561
716	0.0928007797
717	0.09244359825
718	0.09196727352
719	0.09163712404
720	0.09130990818
721	0.09098560143
722	0.0904112582
723	0.08989409073
724	0.08933275612
725	0.089016918
726	0.08851296846
727	0.08818265218
728	0.08785550458
729	0.08755293076
730	0.08723150607
731	0.08669304634
732	0.08637688566
733	0.08589522148
734	0.08537111051
735	0.08489986249
736	0.08459336241
737	0.08428978953
738	0.08379536818
739	0.08349613509
740	0.08328783684
741	0.08280147217
742	0.08232040607
743	0.08204602257
744	0.08174037542
745	0.08153942123
746	0.08125256267
747	0.08092728855
748	0.08062830251
749	0.08034664794
750	0.07988187237
751	0.0796042718
752	0.07941361818
753	0.07910037767
754	0.07891277559
755	0.07860536798
756	0.078153499
757	0.07788519403
758	0.07758539586
759	0.07714184784
760	0.07687860091
761	0.07661791415
762	0.07618183037
763	0.0757610609
764	0.07529198307
765	0.07482758118
766	0.07449055907
767	0.0742400293
768	0.07378376935
769	0.07345171306
770	0.07315052336
771	0.07285308789
772	0.07252460715
773	0.07223148923
774	0.07200104188
775	0.07177290951
776	0.07136932483
777	0.07104714432
778	0.07065004802
779	0.07042697356
780	0.07003535571
781	0.06971997301
782	0.06933464342
783	0.0689536268
784	0.06857686832
785	0.06827483786
786	0.067968793
787	0.06767126196
788	0.06730288956
789	0.06693863474
790	0.06653594804
791	0.06623877451
792	0.06594366837
793	0.06554384595
794	0.06514821556
795	0.06479798504
796	0.06441184676
797	0.06412494
798	0.06384002462
799	0.06349954122
800	0.06333881693
801	0.06317969651
802	0.06284667557
803	0.06269019038
804	0.06236345731
805	0.06208689319
806	0.06176654658
807	0.06139838382
808	0.0610846183
809	0.06081391214
810	0.06050627257
811	0.06023865312
812	0.06009129466
813	0.05979067216
814	0.05952689922
815	0.05926496418
816	0.05897138019
817	0.05882907385
818	0.05854106686
819	0.05828404423
820	0.05800166883
821	0.05774757388
822	0.05747071395
823	0.05710947137
824	0.05675162575
825	0.05648206782
826	0.05612906328
827	0.05586514242
828	0.05551689082
829	0.05527310228
830	0.05514252424
831	0.05488611621
832	0.05454457692
833	0.05430552591
834	0.05396843074
835	0.05384230376
836	0.05359457168
837	0.05336176025
838	0.05313056204
839	0.0529009683
840	0.05275947201
841	0.05243197127
842	0.05219343815
843	0.05187029901
844	0.05155017161
845	0.05141333605
846	0.05129651751
847	0.05098086481
848	0.0507515879
849	0.05053133702
850	0.05039903809
851	0.05026794731
852	0.05005030802
853	0.04974264173
854	0.04963245857
855	0.04941247246
856	0.04910949608
857	0.04889713741
858	0.04868625608
859	0.04857976414
860	0.04837091579
861	0.04815919694
862	0.04803654382
863	0.04791501894
864	0.04762130409
865	0.04741690183
866	0.04731589818
867	0.04711346003
868	0.0469124381
869	0.0467102559
870	0.04642405946
871	0.04622636141
872	0.04594384352
873	0.04584732765
874	0.04565209793
875	0.04545817365
876	0.04534560142
877	0.04506897137
878	0.04479491863
879	0.04452341741
880	0.04433319139
881	0.04422430191
882	0.04403944885
883	0.04377334427
884	0.04358048654
885	0.0434920332
886	0.04338681008
887	0.04328548076
888	0.04310761247
889	0.04291854304
890	0.04281639116
891	0.04271817974
892	0.04251157909
893	0.04241493916
894	0.04215952204
895	0.04195771499
896	0.04175828989
897	0.04166439653
898	0.04148825006
899	0.04129265768
900	0.04120063788
901	0.04100795039
902	0.04081753587
903	0.04059085477
904	0.0405013395
905	0.04027850912
906	0.04005903424
907	0.03997124418
908	0.03980324734
909	0.03963747822
910	0.0394242966
911	0.03921433255
912	0.03912912887
913	0.03904474145
914	0.03896116346
915	0.03879841661
916	0.0386397852
917	0.03843668662
918	0.03828744982
919	0.03813323276
920	0.03798050304
921	0.03778468072
922	0.03762031323
923	0.03748436451
924	0.03732278669
925	0.03713396156
926	0.03698135547
927	0.03682752543
928	0.0366767276
929	0.03654761636
930	0.03639772495
931	0.03624929249
932	0.03606927116
933	0.03592144328
934	0.0357894794
935	0.0356588659
936	0.03552765075
937	0.03540584338
938	0.03528604769
939	0.03508079737
940	0.03491143668
941	0.03470961222
942	0.03452657726
943	0.0343276883
944	0.03418817244
945	0.03400850553
946	0.033832161
947	0.0337125394
948	0.03360190143
949	0.03340910723
950	0.0333009357
951	0.0331106232
952	0.03293930487
953	0.03278111877
954	0.03262479328
955	0.03252132294
956	0.03235448264
957	0.03217093048
958	0.03200800485
959	0.03185706892
960	0.03172768903
961	0.03157930271
962	0.03143266223
963	0.03130573966
964	0.03114655539
965	0.03105077563
966	0.03095653582
967	0.03080169097
968	0.030647066
969	0.03049504193
970	0.03033589675
971	0.03017924299
972	0.03000265991
973	0.02986653498
974	0.02973201015
975	0.02961234775
976	0.02948009798
977	0.0293494051
978	0.02920224041
979	0.02903433848
980	0.02888925568
981	0.02877338721
982	0.0286891299
983	0.02857442869
984	0.0284605543
985	0.02837828853
986	0.02828176818
987	0.02814113663
988	0.02800302957
989	0.02786502359
990	0.02778594891
991	0.02765189986
992	0.02751541422
993	0.02738108927
994	0.02724596469
995	0.02713804472
996	0.02702098798
997	0.02692169401
998	0.02679013517
999	0.02665889767
